idcode,year,age,grade,not_smsa,south,ttl_exp,tenure,ln_wage,black,age2,ttl_exp2,tenure2
36,73,21,12,0,0,5.6474361,1.1666666,1.6174701,0,441,31.893536,1.361111
36,75,23,12,0,0,6.6474361,.91666669,2.0865943,0,529,44.188408,.84027779
36,77,25,12,0,0,7.5897436,.66666669,2.2628245,0,625,57.60421,.44444448
36,78,26,12,0,0,8.5897436,1.6666666,2.3219492,0,676,73.783699,2.7777777
36,88,37,12,0,0,15.935898,.91666669,1.4304553,0,1369,253.95284,.84027779
37,68,19,12,0,0,1.4166666,1.4166666,1.4163717,0,361,2.0069444,2.0069444
37,69,20,12,0,0,2.1089745,.83333331,1.2970632,0,400,4.4477735,.69444442
37,70,22,12,0,0,2.3974359,1.1666666,1.2970632,0,484,5.7476988,1.361111
38,68,23,12,0,0,1.5,1.5,1.7537248,0,529,2.25,2.25
38,69,24,12,0,0,2.4230769,2.4166667,1.7544876,0,576,5.8713017,5.8402781
38,70,25,12,0,0,3.5,2.5,1.7544876,0,625,12.25,6.25
38,71,26,12,0,0,4.6153846,2.0833333,1.4938796,0,676,21.301775,4.3402777
38,72,27,12,0,0,5.5,3.0833333,1.5986733,0,729,30.25,9.5069437
38,75,30,12,0,0,6.5,.41666666,1.4405394,0,900,42.25,.1736111
38,77,32,12,0,0,7.5,2.3333333,1.3212559,0,1024,56.25,5.4444442
39,82,38,16,0,0,2.3974359,1.5,2.2793162,0,1444,5.7476988,2.25
39,83,39,16,0,0,3.3974359,2.5,2.343061,0,1521,11.542571,6.25
39,85,41,16,0,0,5.3974361,4.5,2.3141658,0,1681,29.132317,20.25
39,87,43,16,0,0,7.3974361,6.5,2.2668359,0,1849,54.722061,42.25
39,88,44,16,0,0,8.8397436,7.9166665,2.2814286,0,1936,78.141068,62.673607
40,71,20,14,0,0,1.1346154,.75,1.7523896,0,400,1.2873522,.5625
41,68,20,12,0,0,.41666666,.41666666,1.4039489,0,400,.1736111,.1736111
41,69,21,12,0,0,.91666663,.83333331,1.4039489,0,441,.84027773,.69444442
41,70,22,12,0,0,1.6089743,.75,1.1969546,0,484,2.5887985,.5625
41,71,23,12,0,0,2.7435899,1.8333334,1.6336411,0,529,7.5272856,3.3611112
41,72,24,12,0,0,3.6858976,2.8333333,1.8960483,0,576,13.585841,8.0277777
41,73,25,12,0,0,4.3012824,3.25,2.014189,0,625,18.50103,10.5625
41,75,27,12,0,0,5.3012824,2.1666667,1.8079561,0,729,28.103596,4.6944447
41,77,29,12,0,0,5.6858978,2.5,1.739161,0,841,32.329433,6.25
43,83,30,17,0,0,7.0192308,5.3333335,1.5592052,0,900,49.2696,28.444447
43,85,32,17,0,0,7.5384617,5.75,1.8176775,0,1024,56.828403,33.0625
44,77,30,18,0,0,5.6474361,3.1666667,2.6666646,0,900,31.893536,10.027779
44,78,31,18,0,0,6.1089745,.41666666,2.476491,0,961,37.319569,.1736111
44,82,35,18,0,0,9.8782053,3.5,2.8576601,0,1225,97.578941,12.25
44,83,36,18,0,0,10.839744,3.5,2.9530802,0,1296,117.50004,12.25
44,85,38,18,0,0,12.839744,3.5,3.1456454,0,1444,164.85901,12.25
44,87,40,18,0,0,14.839744,3.5,3.2851303,0,1600,220.21799,12.25
44,88,41,18,0,0,16.205128,3.5,3.3483822,0,1681,262.60617,12.25
45,72,19,12,0,0,1.3653846,.91666669,1.6451927,0,361,1.8642751,.84027779
45,73,20,12,0,0,2.3846154,1.9166666,1.8261089,0,400,5.6863909,3.6736109
45,75,22,12,0,0,3.9166667,3.9166667,2.1236355,0,484,15.340279,15.340279
45,77,24,12,0,0,5.8333335,5.8333335,2.1833014,0,576,34.027779,34.027779
45,78,25,12,0,0,6.9166665,6.9166665,2.2135401,0,625,47.840275,47.840275
45,80,27,12,0,0,8.833333,8.833333,2.2094665,0,729,78.027771,78.027771
45,82,29,12,0,0,10.916667,10.916667,2.2617629,0,841,119.17361,119.17361
45,83,30,12,0,0,11.97436,11.916667,2.3356533,0,900,143.38528,142.00696
45,85,32,12,0,0,13.97436,13.916667,2.2926791,0,1024,195.28273,193.67361
45,87,34,12,0,0,15.833333,15.833333,2.3150485,0,1156,250.69443,250.69443
45,88,35,12,0,0,17.25,17.25,2.3209338,0,1225,297.5625,297.5625
46,87,43,18,0,0,4.3910255,1.5833334,1.3854576,0,1849,19.281105,2.5069447
46,88,44,18,0,0,5.5448718,2.9166667,1.1156428,0,1936,30.745604,8.5069447
47,87,34,12,0,0,7.4102559,.41666666,1.6928196,0,1156,54.911892,.1736111
47,88,35,12,0,0,8.7371788,.75,1.2603251,0,1225,76.338295,.5625
48,80,27,15,0,0,2.9615386,.16666667,1.3310233,0,729,8.7707109,.02777778
48,87,34,15,0,0,4.9615383,.16666667,1.4304553,0,1156,24.616863,.02777778
48,88,35,15,0,0,5.5576925,.33333334,1.7669275,0,1225,30.887947,.11111112
49,68,21,12,0,0,.30769232,,1.7086719,0,441,.094674565,
49,69,21,12,0,0,1.3076923,.58333331,1.7374663,0,441,1.7100592,.34027776
49,70,23,12,0,0,2.3846154,1.6666666,1.8542563,0,529,5.6863909,2.7777777
49,71,24,12,0,0,3.4230771,2.6666667,1.8480508,0,576,11.717457,7.1111116
49,82,35,12,0,0,4.4230771,1.5,1.3862944,0,1225,19.563612,2.25
49,83,36,12,0,0,5.4038463,2.5,1.5692561,0,1296,29.201555,6.25
50,83,31,16,0,0,5.0384617,2.0833333,1.8129859,0,961,25.386097,4.3402777
50,85,33,16,0,0,6.0384617,4,2.1540928,0,1089,36.46302,16
50,88,36,16,0,0,9.4230766,6.4166665,3.576036,0,1296,88.794373,41.173611
51,70,19,12,0,0,1.2115384,.25,1.6570657,0,361,1.4678254,.0625
51,71,20,12,0,0,2.0961537,1,1.6027337,0,400,4.3938603,1
51,72,21,12,0,0,3.1923077,.41666666,1.5986733,0,441,10.190828,.1736111
51,73,22,12,0,0,3.3269231,.5,.43292165,0,484,11.068418,.25
51,78,27,12,0,0,3.7307692,.41666666,1.2503659,0,729,13.918638,.1736111
51,82,31,12,0,0,5.7884617,.25,1.8213177,0,961,33.50629,.0625
51,88,38,12,0,0,10.269231,3.25,1.4880251,0,1444,105.4571,10.5625
53,72,18,12,0,0,1.1153846,.66666669,1.4545732,0,324,1.2440828,.44444448
